City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,bani,DO,77.86,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
2,dingle,PH,90.12,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
10,hermanus,ZA,60.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
13,kulhudhuffushi,MV,82.56,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
14,kalemie,CD,67.59,clear sky,-5.9475,29.1947,Mahobilali
17,araouane,ML,91.96,few clouds,18.9048,-3.5265,
19,pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
25,busselton,AU,65.05,scattered clouds,-33.65,115.3333,Observatory Guest House
26,faanui,PF,78.51,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,manggar,ID,84.52,overcast clouds,-2.8833,108.2667,Guest Hotel
28,isangel,VU,80.71,few clouds,-19.55,169.2667,Tanna Lodge
33,vila franca do campo,PT,70.21,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
34,sao jose da coroa grande,BR,72.7,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
36,snasa,NO,66.69,broken clouds,64.2457,12.3778,Snåsa Hotell AS
37,atuona,PF,77.29,broken clouds,-9.8,-139.0333,Villa Enata
38,saskylakh,RU,78.39,broken clouds,71.9167,114.0833,
39,carutapera,BR,75.63,clear sky,-1.195,-46.02,Lidera
43,jamestown,US,67.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,yining,CN,93.09,clear sky,29.0361,114.5636,Xiushui Hotel
45,bandarbeyla,SO,80.89,overcast clouds,9.4942,50.8122,JABIR HOTEL
46,morant bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
47,blackwater,AU,83.07,clear sky,-23.5833,148.8833,Blackwater Motor Inn
48,sarkand,KZ,77.49,clear sky,45.41,79.9186,Гостиница Сарканд
49,vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
51,ukiah,US,78.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
52,khatanga,RU,72.28,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
56,hays,US,84.96,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
59,esperance,AU,62.44,scattered clouds,-33.8667,121.9,Hospitality Esperance
60,yerbogachen,RU,83.8,clear sky,61.2767,108.0108,
61,lompoc,US,66.11,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
63,arraial do cabo,BR,63.95,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
68,nha trang,VN,96.8,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
69,zhangye,CN,91.72,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
70,bredasdorp,ZA,60.28,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
72,kahului,US,81.66,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
73,dunmore town,BS,83.34,clear sky,25.5,-76.65,Coral Sands Hotel
76,ponta delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
77,bethel,US,70.48,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
79,bartica,GY,75.52,clear sky,6.4,-58.6167,Sloth Island Nature Resort
80,broome,US,61.66,clear sky,42.2506,-75.833,Chenango Valley State Park
81,balykshi,KZ,75.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
83,yellowknife,CA,62.29,broken clouds,62.456,-114.3525,The Explorer Hotel
87,lorengau,PG,85.14,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,boli,CN,91.78,overcast clouds,45.7667,130.5167,The Disabled Recovery Xunlianshi
89,nabire,ID,83.19,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
91,vila velha,BR,69.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
