City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,saint-philippe,100,RE,light rain,82,-21.3585,55.7679,69.39,0.51,0.51,20.22
1,bani,50,DO,scattered clouds,79,18.2833,-70.3333,77.86,0.0,0.0,10.16
2,dingle,42,PH,scattered clouds,58,10.9995,122.6711,90.12,0.0,0.0,16.37
3,ushuaia,40,AR,scattered clouds,71,-54.8,-68.3,46.06,0.0,0.0,3.44
4,castro,30,BR,scattered clouds,74,-24.7911,-50.0119,33.55,0.0,0.0,9.53
5,souillac,40,MU,light rain,68,-20.5167,57.5167,71.98,0.19,0.19,17.27
6,nome,90,US,light rain,87,64.5011,-165.4064,51.87,0.0,0.0,24.16
7,namatanai,28,PG,light rain,71,-3.6667,152.4333,83.5,0.35,0.35,4.21
8,masterton,19,NZ,few clouds,78,-40.9597,175.6575,58.95,0.0,0.0,1.07
9,leningradskiy,100,RU,snow,100,69.3833,178.4167,33.24,0.0,0.0,16.26
10,hermanus,98,ZA,overcast clouds,72,-34.4187,19.2345,60.8,0.0,0.0,23.0
11,charagua,8,BO,clear sky,40,-19.8,-63.2167,43.12,0.0,0.0,4.79
12,bell ville,0,AR,clear sky,50,-32.6259,-62.6887,37.92,0.0,0.0,1.03
13,kulhudhuffushi,100,MV,overcast clouds,74,6.6221,73.07,82.56,0.0,0.0,12.64
14,kalemie,1,CD,clear sky,55,-5.9475,29.1947,67.59,0.0,0.0,2.42
15,mar del plata,0,AR,clear sky,68,-38.0023,-57.5575,42.13,0.0,0.0,5.01
16,rikitea,48,PF,light rain,82,-23.1203,-134.9692,73.31,0.87,0.87,11.7
17,araouane,21,ML,few clouds,39,18.9048,-3.5265,91.96,0.0,0.0,10.71
18,punta arenas,0,CL,clear sky,71,-53.15,-70.9167,46.51,0.0,0.0,5.75
19,pisco,5,PE,mist,88,-13.7,-76.2167,61.02,0.0,0.0,5.75
20,srednekolymsk,100,RU,light rain,97,67.45,153.6833,38.59,0.34,0.34,10.29
21,mataura,77,NZ,broken clouds,80,-46.1927,168.8643,55.47,0.0,0.0,4.38
22,ostrovnoy,100,RU,overcast clouds,74,68.0531,39.5131,47.08,0.0,0.0,4.54
23,quelimane,20,MZ,few clouds,100,-17.8786,36.8883,57.15,0.0,0.0,3.0
24,carnarvon,75,AU,broken clouds,60,-24.8667,113.6333,68.07,0.1,0.1,10.36
25,busselton,29,AU,scattered clouds,73,-33.65,115.3333,65.05,0.0,0.0,29.06
26,faanui,29,PF,scattered clouds,68,-16.4833,-151.75,78.51,0.0,0.0,2.24
27,manggar,91,ID,overcast clouds,69,-2.8833,108.2667,84.52,0.0,0.0,14.14
28,isangel,20,VU,few clouds,54,-19.55,169.2667,80.71,0.0,0.0,9.22
29,cooma,0,AU,clear sky,37,-36.2333,149.1333,51.57,0.0,0.0,12.66
30,falmouth,75,GB,broken clouds,92,50.1544,-5.0711,59.9,0.0,0.0,1.99
31,avarua,90,CK,moderate rain,94,-21.2078,-159.775,66.25,0.59,0.59,9.22
32,bissau,100,GW,light rain,88,11.8636,-15.5977,77.38,0.81,0.81,11.5
33,vila franca do campo,65,PT,broken clouds,84,37.7167,-25.4333,70.21,0.0,0.0,7.29
34,sao jose da coroa grande,4,BR,clear sky,86,-8.8978,-35.1478,72.7,0.0,0.0,2.39
35,chiredzi,0,ZW,clear sky,71,-21.05,31.6667,52.2,0.0,0.0,2.86
36,snasa,56,NO,broken clouds,61,64.2457,12.3778,66.69,0.0,0.0,3.83
37,atuona,61,PF,broken clouds,68,-9.8,-139.0333,77.29,0.0,0.0,16.78
38,saskylakh,83,RU,broken clouds,32,71.9167,114.0833,78.39,0.0,0.0,14.18
39,carutapera,6,BR,clear sky,87,-1.195,-46.02,75.63,0.0,0.0,4.41
40,marsabit,100,KE,overcast clouds,76,2.3284,37.9899,58.5,0.0,0.0,17.09
41,thompson,75,CA,broken clouds,76,55.7435,-97.8558,53.76,0.0,0.0,2.3
42,longyearbyen,90,SJ,overcast clouds,93,78.2186,15.6401,42.64,0.0,0.0,5.75
43,jamestown,1,US,clear sky,75,42.097,-79.2353,67.64,0.0,0.0,1.01
44,yining,5,CN,clear sky,51,29.0361,114.5636,93.09,0.0,0.0,2.33
45,bandarbeyla,89,SO,overcast clouds,61,9.4942,50.8122,80.89,0.0,0.0,25.17
46,morant bay,40,JM,scattered clouds,83,17.8815,-76.4093,82.02,0.0,0.0,7.83
47,blackwater,6,AU,clear sky,30,-23.5833,148.8833,83.07,0.0,0.0,12.59
48,sarkand,0,KZ,clear sky,22,45.41,79.9186,77.49,0.0,0.0,6.85
49,vaini,20,TO,few clouds,78,-21.2,-175.2,73.56,0.0,0.0,8.05
50,port alfred,17,ZA,few clouds,86,-33.5906,26.891,54.97,0.0,0.0,10.11
51,ukiah,5,US,clear sky,47,39.1502,-123.2078,78.37,0.0,0.0,3.18
52,khatanga,86,RU,overcast clouds,52,71.9667,102.5,72.28,0.0,0.0,8.68
53,narsaq,75,GL,broken clouds,93,60.9167,-46.05,48.42,0.0,0.0,3.53
54,arman,100,RU,overcast clouds,81,59.7,150.1667,49.87,0.0,0.0,6.98
55,tiarei,32,PF,light rain,76,-17.5333,-149.3333,80.01,0.23,0.23,5.39
56,hays,67,US,broken clouds,75,30.0502,-98.0336,84.96,0.0,0.0,1.01
57,kaitangata,44,NZ,scattered clouds,77,-46.2817,169.8464,53.92,0.0,0.0,9.1
58,kouroussa,100,GN,light rain,96,10.65,-9.8833,70.25,0.18,0.18,7.25
59,esperance,41,AU,scattered clouds,67,-33.8667,121.9,62.44,0.0,0.0,25.1
60,yerbogachen,0,RU,clear sky,42,61.2767,108.0108,83.8,0.0,0.0,12.21
