City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Esperance,-33.8667,121.9,66.04,58,5,19.26,AU,2021-07-26 06:41:27
1,Albany,42.6001,-73.9662,61.36,96,0,3.29,US,2021-07-26 06:38:08
2,La Ronge,55.1001,-105.2842,57.45,88,40,1.14,CA,2021-07-26 06:41:28
3,Stornoway,58.2093,-6.3865,59.5,91,86,7.78,GB,2021-07-26 06:41:28
4,Gaurnadi,22.9667,90.2333,91.87,64,100,4.76,BD,2021-07-26 06:41:29
5,Mokokchung,26.3333,94.5333,76.75,82,100,1.57,IN,2021-07-26 06:41:29
6,Thompson,55.7435,-97.8558,41.16,87,40,0.0,CA,2021-07-26 06:41:30
7,New Norfolk,-42.7826,147.0587,56.7,47,85,9.66,AU,2021-07-26 06:41:30
8,Dauphin,51.1494,-100.0502,60.94,77,90,8.05,CA,2021-07-26 06:41:31
9,Bredasdorp,-34.5322,20.0403,54.54,54,100,7.07,ZA,2021-07-26 06:41:31
10,Nantucket,41.2835,-70.0995,73.99,94,75,10.36,US,2021-07-26 06:41:31
11,Portland,45.5234,-122.6762,72.37,66,1,1.01,US,2021-07-26 06:37:13
12,Kapaa,22.0752,-159.319,82.38,84,75,1.01,US,2021-07-26 06:41:32
13,Puerto Ayora,-0.7393,-90.3518,70.56,91,40,1.99,EC,2021-07-26 06:41:32
14,Castro,-24.7911,-50.0119,53.51,55,0,3.89,BR,2021-07-26 06:41:33
15,Sept-Iles,50.2001,-66.3821,61.32,97,90,1.01,CA,2021-07-26 06:41:33
16,Qaanaaq,77.484,-69.3632,37.71,67,99,6.55,GL,2021-07-26 06:41:34
17,Kitui,-1.367,38.0106,68.02,45,58,10.42,KE,2021-07-26 06:41:34
18,Geraldton,-28.7667,114.6,66.97,76,54,25.68,AU,2021-07-26 06:41:35
19,Port Elizabeth,-33.918,25.5701,57.49,41,0,8.05,ZA,2021-07-26 06:41:35
20,Punta Arenas,-53.15,-70.9167,35.71,87,0,11.5,CL,2021-07-26 06:41:35
21,Ushuaia,-54.8,-68.3,33.46,80,40,11.5,AR,2021-07-26 06:41:36
